periods,allegiance_clean,award_count
1855-1859,Austria-Hungary,0
1860-1864,Austria-Hungary,0
1865-1869,Austria-Hungary,0
1870-1874,Austria-Hungary,0
1875-1879,Austria-Hungary,0
1880-1884,Austria-Hungary,0
1885-1889,Austria-Hungary,7
1890-1894,Austria-Hungary,15
1895-1899,Austria-Hungary,3
1900-1904,Austria-Hungary,0
1855-1859,British Empire,0
1860-1864,British Empire,2
1865-1869,British Empire,4
1870-1874,British Empire,15
1875-1879,British Empire,11
1880-1884,British Empire,42
1885-1889,British Empire,50
1890-1894,British Empire,125
1895-1899,British Empire,180
1900-1904,British Empire,1
1855-1859,France,0
1860-1864,France,0
1865-1869,France,10
1870-1874,France,3
1875-1879,France,37
1880-1884,France,81
1885-1889,France,88
1890-1894,France,210
1895-1899,France,135
1900-1904,France,4
1855-1859,Germany,0
1860-1864,Germany,11
1865-1869,Germany,0
1870-1874,Germany,0
1875-1879,Germany,16
1880-1884,Germany,0
1885-1889,Germany,46
1890-1894,Germany,60
1895-1899,Germany,62
1900-1904,Germany,8
1855-1859,Italy,0
1860-1864,Italy,7
1865-1869,Italy,0
1870-1874,Italy,1
1875-1879,Italy,1
1880-1884,Italy,23
1885-1889,Italy,21
1890-1894,Italy,68
1895-1899,Italy,64
1900-1904,Italy,3
1855-1859,Other,0
1860-1864,Other,0
1865-1869,Other,1
1870-1874,Other,0
1875-1879,Other,3
1880-1884,Other,14
1885-1889,Other,16
1890-1894,Other,120
1895-1899,Other,142
1900-1904,Other,19
1855-1859,Russia,0
1860-1864,Russia,0
1865-1869,Russia,0
1870-1874,Russia,0
1875-1879,Russia,0
1880-1884,Russia,6
1885-1889,Russia,20
1890-1894,Russia,79
1895-1899,Russia,68
1900-1904,Russia,0
1855-1859,United States,0
1860-1864,United States,0
1865-1869,United States,1
1870-1874,United States,0
1875-1879,United States,1
1880-1884,United States,9
1885-1889,United States,84
1890-1894,United States,59
1895-1899,United States,76
1900-1904,United States,0
