1;Billy Bishop;1894-02-08;1956-09-11
2;René Fonck;1894-03-27;1953-06-18
3;Manfred von Richthofen;1892-05-02;1918-04-21
4;Ernst Udet;1896-04-26;1941-11-17
5;Francesco Baracca;1888-05-09;1918-06-19
6;Godwin von Brumowski;1889-07-26;1936-06-03
7;Alexander Kazakov;1889-01-02;1919-08-01
8;Benno Fiala Ritter von Fernbrugg;;
9;Oswald Boelcke;;1916-10-28
10;Erich Loewenhardt;;
11;Werner Voss;1897-04-13;
12;Edward Corringham Mannock;;
13;Edward Vernon Rickenbacker;;1973-07-23
14;Frank Luke Jr.;1897-05-19;
15;Josef Carl Peter Jacobs;;
16;Paul Wilhelm Bäumer;;
17;Pavel Vladimirovich Argeyev;1887-03-01;1922-10-30
18;Georges Guynmeer;;
